@N: MF916 |Option synthesis_strategy=base is enabled. 
@N: MF248 |Running in 64-bit mode.
@N: MF666 |Clock conversion enabled. (Command "set_option -fix_gated_and_generated_clocks 1" in the project file.)
@N: FX493 |Applying initial value "0" on instance s_dir[0].
@N: FX493 |Applying initial value "0" on instance s_dir[1].
@N: FX493 |Applying initial value "0" on instance s_load[0].
@N: FX493 |Applying initial value "0" on instance s_load[1].
@N: FX493 |Applying initial value "0" on instance s_modo[0].
@N: FX493 |Applying initial value "0" on instance s_modo[1].
@N: FX493 |Applying initial value "0" on instance s_pause[0].
@N: FX493 |Applying initial value "0" on instance s_pause[1].
@N: FX493 |Applying initial value "0" on instance s_reset[0].
@N: FX493 |Applying initial value "0" on instance s_reset[1].
@N: FX493 |Applying initial value "0" on instance load_s_d.
@N: FX493 |Applying initial value "0" on instance reset_s_d.
@N: FX493 |Applying initial value "1" on instance reg9[0].
@N: FX493 |Applying initial value "0" on instance reg9[1].
@N: FX493 |Applying initial value "0" on instance reg9[2].
@N: FX493 |Applying initial value "0" on instance reg9[3].
@N: FX493 |Applying initial value "0" on instance reg9[4].
@N: FX493 |Applying initial value "0" on instance reg9[5].
@N: FX493 |Applying initial value "0" on instance reg9[6].
@N: FX493 |Applying initial value "0" on instance reg9[7].
@N: FX493 |Applying initial value "0" on instance reg9[8].
@N: FX164 |The option to pack registers in the IOB has not been specified. Please set syn_useioff attribute.  
@N: FX1056 |Writing EDF file: C:\Users\ResTIC16\Documents\fpga\AulaPratica_14102025\Projeto_ContadorRegistrador\Projeto\impl1\Projeto_impl1.edi
@N: BW106 |Synplicity Constraint File capacitance units using default value of 1pF 
@N: MT320 |This timing report is an estimate of place and route data. For final timing results, use the FPGA vendor place and route report.
@N: MT322 |Clock constraints include only register-to-register paths associated with each individual clock.
